"ECB_00737"	"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"hupB"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"	"yqeB"
"ECB_00737"	1	0	0	0.0361015187157135	0	0	0	0	0	0	0.0561905011290278	0.186817358745006	0	0.0227440477345378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114692988319298	0
"ECB_01992"	0	1	0.0795144747040884	-0.006295747474959	0	-0.0188537002706577	0	0	0	-0.112932345801033	-0.0596024712902598	-0.0296771679774138	0	-0.00779471184342694	0	0	0	0.0117577336632511	0	0	-0.0454152937639007	0	0	0	0	0	0	0	0	0.075952973805604	0	0	0	0	0	0.0770017589987015	-0.0293103589410358	0	0.0651344707043576	0	0	0.0693885290486428	-0.0581940604077196	0	-0.0315756712600293	0.0761614817465573	0	0.100692242076662	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03722"	0	0.0795144747040884	1	0	0	0	0	0	0	-0.0871848725993835	-0.14641090786029	-0.0171574437905686	0	0	0	0	0	0	0	0	-0.0295599152235159	0	0	0	0	0	0	0	0	0.0121043275240852	0	0	0	0	0	0.0154712102762598	0	0	0	0	0	0	0	0	-0.00112571024387367	0.0128922985971627	0	0.107801667194307	0	0	0	0	0	0	0	0	0	0	0	0	0
"acpP"	0.0361015187157135	-0.006295747474959	0	1	0	0	0.0307824301565715	0	0	-0.00793366160167368	0.0839519270565329	0.139004202249017	0	0.0679748000315379	0	0	0	0	0	0	0.0347232276773696	0	0	0	0	0.0359229451661811	0	0	0	0	-0.0415281737974612	0	-0.0413744927572746	0	-0.0369204988787649	0	0	0	0	-0.0262433026242381	0	0	0	0.0408333214430045	0.022417657634967	0	0	-0.00780481374151373	0.046912267966571	0.0434862035567858	0.0198303312779718	0.0375155454125908	0	0.0190126859303168	0	0	0	0.00814954008740744	0	0.0103822679112423	0
"appC"	0	0	0	0	1	0	0	0	0	0.260034612087006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0240384502887889	0	0	0	0	0	0	0	0	0	0	-0.0180554187105274	0	0	0	0	0	0	0	0	0	0	0	0	0
"arcA"	0	-0.0188537002706577	0	0	0	1	0	0	0	0.155274427709892	0	0.0903318630048602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0825826892256116	0	0	0	0	0	0	0	0	0	0	0	0.129168221367857	0
"cycA"	0	0	0	0.0307824301565715	0	0	1	0	0	0	0.0466105815245526	0.188739067376209	0	0.016422366419065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00976271799458267	0
"envZ"	0	0	0	0	0	0	0	1	0	0	-0.00373889527829472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261412230589715	0
"fabF"	0	0	0	0	0	0	0	0	1	0	0	-0.0411164818537313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26955355479823	0
"flgB"	0	-0.112932345801033	-0.0871848725993835	-0.00793366160167368	0.260034612087006	0.155274427709892	0	0	0	1	-0.0170522220827987	-0.132386384785755	0	0	0	0.23232665056678	-0.286652454068588	0	0	0.206417875328754	0	0.121388176632458	0	0	0	0	0	0	0.26038807911979	-0.0896090365549106	0	0	0	0.259526155193286	0	-0.0886197463566998	0.245052450628121	0.10998302967261	-0.0937743295279484	0	0.260893747232114	-0.0923993695135563	0.202163610265572	0	0	-0.0892980096245744	0	-0.0990361186817392	0	0	0	0	0	0	0	0	0	0	0.26060963773367	0.0490296893048691	0.259484741153213
