"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"
"ECB_00737"	1	0	0	0	0.0113257027542916	0	0	0	0	0	0	0.0449431808293887	0.173638461984244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155401608013467	0	0	0	0	0	0	0	0	0	0	0	0	-0.0272984486419676	0.010075506178921	0
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	-0.00132758751334209	-0.0461777512628362	-0.0185184428075085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24038610443943	0	0
"ECB_02816"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23689374566088	0
"ECB_03722"	0	0	0	1	0	0	0	0	0	0	0	-0.0281279609091991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238169722057251	0	0
"acpP"	0.0113257027542916	0	0	0	1	0	0	0.00527140748537913	0	0	-0.00571651905970899	0.0903718990472219	0.154906638994458	0	0	0.0485085515776456	0	0	0	0	0	0	0	0.0247243160098078	0	0	0	0	0	0.0110200826101003	0	0	0	0	-0.0286065345389092	0	0	0	-0.0285080071857337	0	-0.0253392147185672	0	0	0	0	0	-0.0165653701728728	0	0	0	0.0165943197116199	0.012030514863168	0	0	0	0.0228674047321764	0.0556411417344624	0.0192299292474004	0	0.0128498750260209	0	0	0	0	0	0	0	0	0	-0.0288997831054243	0.00842430245616718	0
"appC"	0	0	0	0	0	1	0	0	0	0	0.193822795751724	-0.0169499635953033	-0.0455430782411601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0186165628498067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0814167345941	0.00222780037073475	0
"arcA"	0	0	0	0	0	0	1	0	0	0	0	0	0.00351984200508636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194610455566866	0.149670186715929	0
"cycA"	0	0	0	0	0.00527140748537913	0	0	1	0	0	0	0.0376504230685714	0.175099788966162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00977659230331892	0	0	0	0	0	0	0	0	0	0	0	0	-0.0233229615480824	0.00952289571956903	0
"envZ"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241929475516886	0
"fabF"	0	0	0	0	0	0	0	0	0	1	0	0	-0.0947960740351236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.205998038107433	0
"flgB"	0	-0.00132758751334209	0	0	-0.00571651905970899	0.193822795751724	0	0	0	0	1	-0.0471372885346966	-0.108091117334108	0	0	0	0	0	0	-0.221246138890319	0	0	0.193461082252675	0	0.0136301965195442	0	0	-0.00291933139070499	0	0	0	0	0.193409878659014	-0.00303011339465907	0	0	0	0	0	0.194350405072903	0	-0.00312121525591991	0.178497284233818	0.0345178405318912	0	0	0	0.192415191414231	-0.000172413574169647	0.135984674770668	0	0	-0.00299850215667187	0	-0.00449447019975742	0	-0.00916145020351432	0	0	0	0	0	0	0	0	0.191180800791709	0	0.193232137191605	0	-0.135361846001365	0.0065936966949124	0.194305964602973
"hokB"	0.0449431808293887	-0.0461777512628362	0	-0.0281279609091991	0.0903718990472219	-0.0169499635953033	0	0.0376504230685714	0	0	-0.0471372885346966	1	0.093288573401731	0.137703142938023	0	0.0914555693971923	0.150349486258809	0	0	0.0136427578231221	-0.143015631401409	0	-0.0455440134773915	0.244583017268913	-0.0887241861987628	0	0	-0.0187845960562242	0	0.0445325757465461	0	0	-0.0173102318415135	-0.0138172280134114	-0.00189166940130768	0.148605080923565	0	0.117342858872289	-0.00187423345227472	-0.0160504400426457	-0.000535467029893987	-0.0177633235605465	-0.0323648994832471	-0.178441699551602	-0.00066797359249204	0	0	-0.018643613102938	0	0	0.0517142210610086	0.237236467377789	-0.0149349829188645	0.142376284030406	-0.048566013501371	0.060266253156231	0.0897292829510754	0.0552168049285891	0.0238355760237434	0.0468003010151898	0.134932907582274	0.0227061778279487	0	0	-0.12211585884018	-0.0203637510750527	0	-0.0175402855118021	0	-0.0275993946158698	0	-0.0163448592858814
"hokD"	0.173638461984244	-0.0185184428075085	0	0	0.154906638994458	-0.0455430782411601	0.00351984200508636	0.175099788966162	0	-0.0947960740351236	-0.108091117334108	0.093288573401731	1	0	0	0.172830209855364	0.000811093280052077	0	-0.121452339915004	0	0	0.136570831535144	0	0.126297578052365	-0.241071512462025	0	0	0	0	0.173827593740246	0	0	-0.0462082074287633	0	-0.173136276803414	0	0	0	-0.17315013706296	-0.043748485683687	-0.172807790796321	0	-0.0723861209311346	-0.048670117537794	0	0	-0.168465741985106	-0.0490605226466099	0	0	0.172594858662441	0.118150022144837	0	0	-0.0224972073261197	0.171659646526789	0.148654248130508	0.172136710479385	0.177222365084	0.173492650729563	0	0.177134274705906	0	0	0	-0.0528590524553684	0.150445094851108	-0.0466414268513804	0	0	0	-0.0443347893886596
