"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00367865389172257	0	0.0151389895331031	0.174131213644744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0494723822779227	0	0	0.0314844081243447
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	-0.0124398051357254	0	0	0	0	0	0	-0.0421548080916312	-0.05839150010852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192649270274053	0	0	-0.0080484437869348
"ECB_02797"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.220049463082046	0	0	-0.0380207007272818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263749620580978	0	0
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	-0.0866146940041353	0	0	0	0	0	0	-0.0836838983203533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.043451212979175	0.109348246325432	0.111666237847411	0	0
"ECB_02852"	0	0	0	0	1	0	0	0	0	0	0.129278415637845	0	0	0	0	0	0	0.00702468610773094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0627563834567042	-0.0520002773863199	-0.0976460922253926	0	0
"ECB_03722"	0	0	0	0	0	1	0	0	0	0	-0.0101714754116191	0	0	0	0	0	0	-0.0301188231161724	-0.0411736906370341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19080938565252	0	0	0
"acpP"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-0.0382160814234063	0	0.0680878572435978	0.164796791273036	0	0	0.0280562822688147	0	0	0	0	0	0	0	0	0	0.0197100282983222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00958411257700564	0	0	0	0	0.00163949609340734	0.0374148742895623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0690935503753733	0	0	0.0606690593200498
"acs"	0	0	0	0	0	0	0	1	0	0	-0.00305273016993343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.199659968288229	0	0
"appC"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.214070247063029	0	0	-0.0332557995521683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024505902393769	0	0
"arcA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0855345082954347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.155363845872764	0.125048932909908	0	0
"blr"	0	-0.0124398051357254	0	-0.0866146940041353	0.129278415637845	-0.0101714754116191	0	-0.00305273016993343	0	0	1	0.149353431072051	0	-0.00290188871962502	0	0.147174519781921	0	0.0127699742707635	-0.0586389086173906	0.148909594684644	0	0	0.124012167651917	-0.00486310217304164	0	0	-0.0764574092141969	0.0347922333727579	0	0	-0.0138991522001215	0.0178113622418115	0	-0.004654133762907	0	-0.00307225836173565	-0.0133932441578976	-0.00705224810932994	0	0.151545891541335	-0.00285020083102482	0	0	-0.0134737155117923	0	0.131447639739748	-0.0131902942461356	-0.00375882436775591	0.152596753324014	0	0	0	-0.0133910797605073	0.03478330137338	0	-0.0140280789771158	-0.0131839489337585	0	0	-0.0142543778808075	0.188499108476276	0	0.015117295426952	0.124754817271487	-0.0133694916315944	0.142775220579571	-0.0170677642208856	0	0	0	-0.00267948027732192	0	0	0	0.149280187892532	0	-0.00502615617341722	-0.00512373100819178	-0.178781835120386	0	0	0	-0.0140393598012044	0.111281890851956	-0.0669299735773893	-0.00535651660695357	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0.149353431072051	1	0	0	0	0.0025701432139837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623964197217643	-0.0346324919153236	-0.0748243081137456	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.000210326364949136	0	0.00532383464934947	0.176784014484684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0438595041187015	0	0	0.0268428160189047
"envZ"	0	0	0	0	0	0	0	0	0	0	-0.00290188871962502	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.210109096637059	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0225622095830114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010044752903124	-0.235426567335114	0	0
"flgB"	-0.00367865389172257	0	0.220049463082046	0	0	0	-0.0382160814234063	0	0.214070247063029	0.0855345082954347	0.147174519781921	0.0025701432139837	-0.000210326364949136	0	-0.0225622095830114	1	-0.143626392957903	-0.0505023064984775	-0.0997563799178844	0.00139908489258707	0	-0.0356061633147377	0	0	0	0	0	0.226586501126138	0	0.155705842180496	0	0	0	0	0.00272808658844	0	0	0	-0.00300757934917282	0.0077620722966661	0	0	0.214354054746128	0	-0.142774680142307	0	0	0	0.00859646477658498	-0.143210559456262	0.212868461616599	-0.144176583174797	0	0.226592859452747	0.0250135847356481	0	0	-0.142991833251963	0.216281266132126	0	0.171346733114924	-0.00906823535065134	0	0	0	0	0	-0.0154109626556576	-0.0385257921627376	-0.0119325399613841	0	0	-0.00478286839770043	0	0.0028769867855566	0	0	0	-0.171149795132147	0.219691792320211	0	0.21472776097529	0	0.0893060741929345	-0.101765426157615	0	0.213392653868782	-0.0583443442554424
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143626392957903	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632613013854362	-0.113048445960993	0	0
"hokB"	0.0151389895331031	-0.0421548080916312	0	-0.0836838983203533	0.00702468610773094	-0.0301188231161724	0.0680878572435978	0	0	0	0.0127699742707635	0	0.00532383464934947	0	0	-0.0505023064984775	0	1	0.0697762072847038	0	0	0.0750374264187823	0.020325718780984	0	0	0	-0.143119679144495	0	0	0	-0.0204638027840951	0.184125011453759	0	0	0	0	-0.0259160909954611	0	0.0142479734090931	0	0	0	0	-0.024490757986243	0	0.000570707911194811	0	0	0	0	0	0	-0.0256178111448592	0	-0.0974197846756706	-0.019320489161471	-0.0162297728232228	0	0	-0.0179985681576148	0	0.0266166028744958	0.178026828126724	0.0180059389336639	-0.0248242967325926	0	-0.0432147018946796	0.0407193217596868	0.0628590274090356	0.0329786449160818	0	0	0.0177766512527487	0	0	0	0	0	0	0	0	0	-0.0186520859671194	0.0286953500507338	-0.035542388781493	-0.0783289468813351	0	0.0567689211367638
"hokD"	0.174131213644744	-0.05839150010852	-0.0380207007272818	0	0	-0.0411736906370341	0.164796791273036	0	-0.0332557995521683	0	-0.0586389086173906	0	0.176784014484684	0	0	-0.0997563799178844	0	0.0697762072847038	1	0	0	0.15501261178222	0	0	0	-0.119625379240768	0	-0.0517148103031752	0.151697758376451	0	-0.0190401024251093	0.108088803610915	-0.152661987511863	0	0	0	-0.0309934667031715	0	0.173508398824785	0	0	0	-0.0336000558428304	-0.0280646792771345	0	0	0	0	0	0	-0.0315085795904704	0	-0.0303746761363571	-0.0516833093653802	-0.0997871709913636	-0.0164088179090516	-0.00869083888232093	0	-0.035430284930003	-0.0131338629308588	0	0.170459485444188	0.106066593249634	0	-0.0287657481964742	0	-0.0560952551261054	0.166391794976698	0.169218722471866	0.169045094759853	0	0.176136265641004	0.172700385776865	0.176000252973841	0	0.1761280517647	0	0	0.0165273115713494	-0.0375896599765004	0.158887603101991	-0.0340152071488727	-0.0146163266993223	0	0	0.0701488818263832	-0.0323850636289553	0.143462196162804
"hsdS"	0	0	0	0	0	0	0	0	0	0	0.148909594684644	0	0	0	0	0.00139908489258707	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0633438980515654	-0.0368747258633006	-0.0770532104707754	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0.0280562822688147	0	0	0	0	0	0	0	0	-0.0356061633147377	0	0.0750374264187823	0.15501261178222	0	0	1	0	0	0	0	0	0	0	0	0	0.0176819625227995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00595947531477137	0	0	0	0	0	0.0306537381818016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0674976871793946	0	0	0.0542202156670707
"hyfA"	0	0	0	0	0	0	0	0	0	0	0.124012167651917	0	0	0	0	0	0	0.020325718780984	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0629553108054924	-0.0535084119698987	-0.10325624104803	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	-0.00486310217304164	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212579326898024	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0468757081121716	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119625379240768	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000138349002437979	-0.0607285945596149	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	-0.0764574092141969	0	0	0	0	0	0	-0.143119679144495	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.0305991555195123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0073102548618104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0539272219459873	0.115322749599123	0.137477330110347	0	0
"lrp"	0	0	0	0	0	0	0	0	0	0	0.0347922333727579	0	0	0	0	0.226586501126138	0	0	-0.0517148103031752	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169569603357577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0118792178008737	0	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151697758376451	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126246851631442	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155705842180496	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142405650113789	0	0
"mntH"	0	0	0	0	0	0	0	0	0	0	-0.0138991522001215	0	0	0	0	0	0	-0.0204638027840951	-0.0190401024251093	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191266168964591	0	0	0
"mokC"	0	0	0	0	0	0	0.0197100282983222	0	0	0	0.0178113622418115	0	0	0	0	0	0	0.184125011453759	0.108088803610915	0	0	0.0176819625227995	0	0	0	0	-0.0305991555195123	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0799047360747047	0	0	0	0	0	0.018520639748038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0210312898406621	-0.131153173506817	-0.0821013006297861	0	0.0343331059419727
"mreB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.152661987511863	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0317538997117968	-0.0480836764439362	0	0
"mreC"	0	0	0	0	0	0	0	0	0	0	-0.004654133762907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212410228323312	0	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00272808658844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0937120033334478	0	0
"narZ"	0	0	0	0	0	0	0	0	0	0	-0.00307225836173565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18359702592516	0	0
