"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"	"yqeB"
"ECB_00737"	1	0	0	0	0.0266071597365868	0	0	0	0	0	0	0.058759523577889	0.172513827081762	0	0.0140912407695042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030817908022881	0	0	0	0	0	0	0	0	0	0	0.0166840491775881	0
"ECB_01992"	0	1	0	0.0245590109773982	-0.0327085598215704	0	0	0	0	0	-0.0838894718921598	-0.144170601435245	-0.0543169680573727	0	-0.0312236632639298	0	0	0	0	0	0	0	-0.0465597637251791	0	0	0	0	0	0	0	0	0.0169759741020159	0.0186714247915685	0	0	0	0.0185236755678399	0	0.0145660028025722	0.0189638045646399	0	0	0.000872244519806615	0.00648138150604591	0	0.00658356560449345	0	0	-0.0295233677216117	0.0175158426459245	0	0.0733281725243684	-0.000163274337949397	-0.0322643870196727	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02816"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.238082438485581	0
"ECB_03722"	0	0.0245590109773982	0	1	-0.0172729964276621	0	0	0	0	0	-0.00949779273233471	-0.160069866671557	-0.0772988896912931	0	-0.00801877805791584	0	0	0	0	0	0	0	-0.0226035506081101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0460808924783433	0	-0.0199648561589772	0	0	0	0	0	0	0	0	0	0	0	0
"acpP"	0.0266071597365868	-0.0327085598215704	0	-0.0172729964276621	1	0	0	0.0205650494900951	0	0	0	0.0646424863013756	0.137483745210096	0	0.0582518932437473	0	0	0	0	0	0	0	0.0369355018465561	0	0	0	0	0.0263801615722232	0	0	0	-0.0105894681286414	-0.0158495601566223	0	0	0	-0.015772449583353	0	-0.0130977280523293	-0.012540161242235	0	0	0	-0.00567168658979687	0	0	0	0.0318132692775048	0.0254217165007946	-0.0110935842909752	0	-0.0338414781673671	0.0376358474495445	0.0626841439386133	0.0342302338914104	0.00789419905993355	0.0281796197882499	0	0.00688748773032032	0	0	0	0	0	0.0219702520293114	0
"appC"	0	0	0	0	0	1	0	0	0	0	0.277561882653884	0	-0.00386187660665783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190774297955457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"arcA"	0	0	0	0	0	0	1	0	0	0	0.190120330162587	0.0129140981841157	0.0908536362288332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0154911169816007	0	0	0	0	0	0	0	0	0	0	0	0	0.121317782423256	0
"cycA"	0	0	0	0	0.0205650494900951	0	0	1	0	0	0	0.0510545933448804	0.17483168496454	0	0.00699217074038714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250939227322208	0	0	0	0	0	0	0	0	0	0	0.0159576393784904	0
"envZ"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243349903459421	0
"fabF"	0	0	0	0	0	0	0	0	0	1	0	0	-0.0652923967600911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.238199406978909	0
"flgB"	0	-0.0838894718921598	0	-0.00949779273233471	0	0.277561882653884	0.190120330162587	0	0	0	1	0.00246793875301807	-0.145893865220213	0	0	0	0	0.113759018911008	0.00443743007911932	-0.0128126616811422	0	0.203986367367147	0	0.103531157226655	0	0.0477226732811842	0	0	0	0	0.277624385645879	-0.00520640061440884	-0.11843955686895	0	0	0	-0.118315016178174	0.277710111247382	-0.116728740791054	-0.00575155572936635	0.273810028537113	0.127331273686933	-0.00450461535001952	-0.11906417373644	0.277314042854003	-0.00418355556246917	0.303364814412587	0	0	-0.00533761771158347	0	-0.106373018232971	0	0	0	0	0	0	0	0	0	-0.260593892308501	0	0.277562697788444	-0.0226286648401684	0.277589011560325
"hokB"	0.058759523577889	-0.144170601435245	0	-0.160069866671557	0.0646424863013756	0	0.0129140981841157	0.0510545933448804	0	0	0.00246793875301807	1	0	0	0.0791331862616103	0.153934225724711	-8.69500349101885e-05	0	0	-0.236523677160482	0	-0.00481097633084204	0.23986133825106	0	-2.09739697731507e-05	0	-0.00020758583126282	0.0583978243013359	0	0	0	-0.163221597084578	-0.0235974590245654	0.152630241533311	0	0.122399409200808	-0.0236006446665941	0	-0.024081992166107	-0.16223911227165	0	-0.123636433832314	-0.160829143780883	-0.025187815218582	0	-0.164462557976223	0.0420638759407495	0.0653712744222696	0.249575789012683	-0.163015059320967	0.148337336989205	-0.127611962520886	0.0730043844832751	0.0586077933173117	0.0684969092272181	0.0362468705627611	0.0608895386760352	0.141744566346678	0.0351037364967723	-0.000209833218462383	-0.000282286199301088	-0.132712730631833	0	0	-0.0160674509354142	0
"hokD"	0.172513827081762	-0.0543169680573727	0	-0.0772988896912931	0.137483745210096	-0.00386187660665783	0.0908536362288332	0.17483168496454	0	-0.0652923967600911	-0.145893865220213	0	1	0	0.148759396053862	0	0	-0.142108738489596	-0.0592386440402891	0	0.159599984742565	0	0.08577995914642	-0.241565066001025	0	0	0	0.172581999869196	0	0	-0.00444456963966914	-0.07692226996495	-0.0738072255498617	0	0	0	-0.0739337390728119	-0.00269815145837643	-0.0766487963855371	-0.0773182661014735	-0.0206065174020081	-0.0229685061327059	-0.0697487393399413	-0.0781689996761616	-0.00705913162486089	-0.0728691607966369	0	0.170623604020022	0.0869524232388382	-0.0770591515053222	0	-0.0185566565797484	0.169066257242882	0.134612984598263	0.169919204235644	0.180909959416669	0.171935178787088	0	0.181320109554391	0	0	0	0.180133337213918	-0.00492530104869473	0	-0.00305736741187557
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0.0140912407695042	-0.0312236632639298	0	-0.00801877805791584	0.0582518932437473	0	0	0.00699217074038714	0	0	0	0.0791331862616103	0.148759396053862	0	1	0	0	0	0	0	0	0	0.0316742717175525	0	0	0	0	0.0138426538298167	0	0	0	0	-0.0114246822724483	0	0	0	-0.0113182954618188	0	-0.0078200951211528	-0.00224240096915837	0	0	0	0	0	0	0	0.0202114854956429	0.0181650832945658	-0.000490117564974177	0	-0.036746298313115	0.0269621541223241	0.0602632660995373	0.0230011041975448	0	0.015907571334227	0	0	0	0	0	0	0	0.0201881526113839	0
"hyfA"	0	0	0	0	0	0	0	0	0	0	0	0.153934225724711	0	0	0	1	0	0	0	0	0	0	0.0169177361436127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.141713900430013	0
"iap"	0	0	0	0	0	0	0	0	0	0	0	-8.69500349101885e-05	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246333382452491	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0.113759018911008	0	-0.142108738489596	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0873254028838435	0
"infB"	0	0	0	0	0	0	0	0	0	0	0.00443743007911932	0	-0.0592386440402891	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0414589164080213	0
"infC"	0	0	0	0	0	0	0	0	0	0	-0.0128126616811422	-0.236523677160482	0	0	0	0	0	0	0	1	0	0	-0.0389606748271461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00301024434057116	0	0	0.0113160762662583	0	0	0	0	0	0	0	0	0	0	0	0	0.146949876513772	0
"malT"	0	0	0	0	0	0	0	0	0	0	0	0	0.159599984742565	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158420332537059	0
"metH"	0	0	0	0	0	0	0	0	0	0	0.203986367367147	-0.00481097633084204	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161879040210106	0
"mokC"	0	-0.0465597637251791	0	-0.0226035506081101	0.0369355018465561	0	0	0	0	0	0	0.23986133825106	0.08577995914642	0	0.0316742717175525	0.0169177361436127	0	0	0	-0.0389606748271461	0	0	1	0	0	0	0	0	0	0	0	-0.0116838715965484	0	0.00469873858463562	0	0	0	0	0	-0.0147497475487582	0	0	0	0	0	0	0	0	0.103991045139967	-0.0124489522919669	0	-0.0564572681637487	0	0.0388808100828565	0	0	0	0	0	0	0	0	0	0	-0.0615851128346524	0
"mreB"	0	0	0	0	0	0	0	0	0	0	0.103531157226655	0	-0.241565066001025	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0381588210498347	0
"mreC"	0	0	0	0	0	0	0	0	0	0	0	-2.09739697731507e-05	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246087593308092	0
"nadR"	0	0	0	0	0	0	0	0	0	0	0.0477226732811842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110451667513821	0
"oppD"	0	0	0	0	0	0	0	0	0	0	0	-0.00020758583126282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.249571564309972	0
"phoH"	0	0	0	0	0.0263801615722232	0	0	0	0	0	0	0.0583978243013359	0.172581999869196	0	0.0138426538298167	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306113602298839	0	0	0	0	0	0	0	0	0	0	0.0165210427378175	0
"prlA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.242694109310784	0
