"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	0	0	0	-0.0790887123274912	0	0	0	0	0	0.168326791162518	0	0.0488900689402557	0	0.0741608318771437	0	0	0	0.171981225711157	0	-0.0947285235817085	0	0.091244659268751	0	-0.0889458367685402	-0.114986555344301	-0.0899243300732677	0.173318783704472	0
"acpP"	0	1	-0.00652631224510202	0.143474133775449	0	-0.0375888048818026	0.161573346896201	0.155213673599333	0	-0.0281642110938551	0	0.153380562645049	-0.101977009708059	0	0.0119594413978688	0	0	-0.00809563702406721	0	-0.0384089447865211	0	-0.0038787366804453	-0.008002252559133	-0.0203413995090068	0	0.0732227893502436	0	0	0.0653885343213399
"appC"	0	-0.00652631224510202	1	0	0	0.227072746071485	-0.0433588298662433	-0.0166445856151208	0	0	0	-0.00919325235341148	0	0	0	0	0	0.203356864790848	0	0	0	0.199994610235002	0.0724669608851232	0	0	-0.0117470564601207	0	0	0
"cycA"	0	0.143474133775449	0	1	0	-0.0171125889830682	0.174977094143642	0.153567973347796	0	0	0	0.146052098030356	-0.0121144811136093	0	0	0	0	0	0	-0.0195006038912853	0	0	0	0	0	0.0425151848802971	0	0	0.0159110249877961
"fabF"	-0.0790887123274912	0	0	0	1	0	-0.00523215486413203	0	0	0.149195981416708	-0.0707410303955194	0	0	-0.0739688283260766	-0.250626138631127	-0.0700499964351554	0	0	-0.0643230355645376	0.166214009607209	0.132190818257142	0	-0.0380112986818404	0.137391606576309	0.123114648081463	0	0.124471784828972	-0.0617530833460547	-0.0915047420169411
"flgB"	0	-0.0375888048818026	0.227072746071485	-0.0171125889830682	0	1	-0.0543462821148736	-0.0410740149097651	0	0	0	-0.0384261074354512	0	0	0	0	0	0.227260612444605	0	0	0	0.226794147702883	0.124706350508482	0	0	-0.0442907877009781	0	0	-0.00462472403359608
"hokB"	0	0.161573346896201	-0.0433588298662433	0.174977094143642	-0.00523215486413203	-0.0543462821148736	1	0.154241966292909	0	-0.0427137983392154	0	0.15944931791146	-0.184183555198555	0	0.0928756175993277	0	0	-0.0438653058682401	0	-0.0420488146646881	0	-0.0424920637962581	-0.046497070675287	-0.0420163499300146	0	0.0816457088556617	0	0	0.125749292861401
"hokD"	0	0.155213673599333	-0.0166445856151208	0.153567973347796	0	-0.0410740149097651	0.154241966292909	1	0	-0.0350694246232906	0	0.154805563360527	-0.130357875176663	0	0.0371027394566333	0	0	-0.0178466478192839	0	-0.0414270772611277	0	-0.0145700343279933	-0.0202520372328417	-0.0297364449169691	0	0.0770751475195698	0	0	0.084162800473924
"hslU"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	-0.0281642110938551	0	0	0.149195981416708	0	-0.0427137983392154	-0.0350694246232906	0	1	0	-0.0299684623463919	0	-0.00159403792226233	-0.0681914770334239	0	0	0	0	0.213683446913163	0	0	0	0.20548527161646	0	0	0	0	-0.089993070084309
