"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"ECB_01992"	1	0.13379251385755	-0.00768258453734644	0	0	0	0	0	-0.0787903971380109	-0.0143605698117799	0	0	0.0858123681169499	0.0283471877049553	0	0	-0.0479347362614791	0	0	0	0	0	0	0	0	0.129900771277936	0	0	0	0	0	0.131187983861509	0	0	0	0	0	-0.0354064591075624	0	0.148808353401532	0	0	0	0	0	0	0	0	0	0
"ECB_03722"	0.13379251385755	1	0	0	0	0	0	0	-0.0964946816775575	-0.00784476184621733	0	0	0.0455468965137099	0.00354097558442885	0	0	-0.0414140174016405	0	0	0	0	0	0	0	0	0.107739831579618	0	0	0	0	0	0.1099801728579	0	0	0	0	0	-0.0223324765383246	0	0.137974006849516	0	0	0	0	0	0	0	0	0	0
"acpP"	-0.00768258453734644	0	1	0	0.00280219484163726	0.113355677174015	0	0	0.068944449352335	0.06848123720726	0	0	0	0	0.0996761731104393	0	0.0583007131672043	-0.0893885418960877	0	0	0	0.116898198485082	0	0	0	0	-0.0396292963729725	0	-0.0395792371159011	0	-0.0363039630928367	0	0	0	-0.0262956694075917	0	0.119899912515238	0.0485341695834536	0	-0.00927268917817562	0.121586749468187	0.101742486009765	0.11775789734883	0	0.100731763986744	0	-0.0025403696735827	0.0765708442008654	0	0.0327433762576522
"appC"	0	0	0	1	0	0	0	0.200516275775244	0	-0.00417027440054754	0	-0.02992720731153	0	0	0	0	0	0	0	0	0	0	0	0	0.116051028704101	0	0	0	0	0.110374555856487	0	0	0.167427567797239	0	0	0.0466124059957717	0	0	0	0	0	0	0	0	0	0	0	0	0.117129101710152	0
"arcA"	0	0	0.00280219484163726	0	1	0	-0.0637870870397128	0.13733635703621	0	0.0916968389245413	0	-0.199974382066654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0638640669601746	0	-0.0628737823562665	0	-0.0329034133168113	0	0.0831697610621724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0587466877345694
"cycA"	0	0	0.113355677174015	0	0	1	0	0	0.0735923012572501	0.216108116171638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00998115560325686	0	0	0	0	0	0	0	0	0.0145624337888775
"fabF"	0	0	0	0	-0.0637870870397128	0	1	-0.0309024194522055	0	0	0	0.22988133849818	0	-0.0323129458052702	0	0	0	0	0	0	-0.00374223043332357	0	0	0	0	0	0.100666297953041	0.00777532772951613	0.10013078235585	0	0.0832816458592785	0	-0.0105876666200919	-0.0224334599654672	0.0486392473576108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.166220657646123
"flgB"	0	0	0	0.200516275775244	0.13733635703621	0	-0.0309024194522055	1	0	-0.0289492611187018	0	-0.0235257596668351	-0.0111578191362769	0	0	0	0	0.151758384518408	0	0	0	0	0	0	0.199409429867913	0	-0.0289101085587765	0	-0.0287681092835972	0.201696180153422	-0.0254956122993292	0	0.144121432040806	0.127655454291719	-0.0212985408704233	0.193884435148079	0	0	0	-0.00859013795124595	0	0	0	0	0	0	-0.0756513004854473	0	0.198699264337882	-0.0572775228696807
"hokB"	-0.0787903971380109	-0.0964946816775575	0.068944449352335	0	0	0.0735923012572501	0	0	1	0.0140176104677064	0	0	0	-0.180564126195039	0.0370015969614388	-0.000124131007320985	0.251228409293201	-0.0822591373257478	-0.00921726532752982	0	-0.0118294804728862	0.0849203267900034	-0.00563143629346344	0	0	-0.0964114337042114	0	0.13631932689907	0	0	0	-0.0968537449722211	0	-0.206371697190454	0	0.0704634010766564	0.0933136986116576	0.272365805786747	0.140705673838065	-0.0736342968632682	0.100271368138492	0.0418182458083584	0.0882956288739221	0.146340456435723	0.0394214174629782	-0.0105014962088844	-0.190825875604056	0	0	0
"hokD"	-0.0143605698117799	-0.00784476184621733	0.06848123720726	-0.00417027440054754	0.0916968389245413	0.216108116171638	0	-0.0289492611187018	0.0140176104677064	1	0	-0.0101310053272106	0	0	0.217987839711579	0	0.0723479826806882	-0.205946088524393	0	0	0	0.214144682344001	0	0	-0.00450546020763609	-0.0074135433356856	-0.0630848001397356	0	-0.0632783180385323	-0.00201205467794695	-0.0665428313666365	-0.00699833929431432	-0.0142363264566677	0	-0.0679912188594922	0	0.211475071511557	0.0718401629253883	0	-0.0154973414618819	0.203657089321244	0.21801631938271	0.21315866218061	0	0.218004742803075	0	-0.0702590927859014	0.178453009502341	-0.00431654565911038	0.0467595386176683
