"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"
"ECB_01992"	1	-7.78332455371394e-05	0	0	-0.0427855505167204	0	-0.016889632087594	-0.00875237760112911	0	-0.0486710991322889	0.159404542825336	0	-0.00264072871193783	0.0370134758135179	0	0.0408995187727452	0	0	0	0	0.158901165962098	0	-0.116364783004567	0	0	0.0808411782447297	0	-0.0750691297397743	-0.17670459556687	-0.108985371282523	0	0.110713661749366	0
"acpP"	-7.78332455371394e-05	1	0	0.0990710871160868	0	-0.0267311792537685	0.133134642313378	0.110377738436559	0	0	0	0.0876419685442211	0.107322795290257	-0.0834082838042509	0	0	0.102419304967534	0	0	0	0	-0.0284576879941214	0	-0.0283630373164125	0	-0.0115219225606259	-0.0144936930063009	0	0.0572448133411754	0	0.0886357458213726	-0.060343590823734	0.0387642080944307
"appC"	0	0	1	0	0	0.217623512926942	-0.0524819858713502	-0.00481106578217957	0	0	0	0	0	0	0	0	0	0	0	0.184318711718271	0	-0.0236630595896819	0	-0.0235117723083839	0.180010298489412	0.08819050376724	-0.00706452929925327	0.132875390118499	0	0	0	-0.00968252529661539	0
"cycA"	0	0.0990710871160868	0	1	0	0	0.194583801415618	0.124179815400895	0	0	0	0.0180660479878966	0.104941567311222	0	0	0	0.0499152752463075	0	0	0	0	0	0	0	0	0	0	0	0.00523610140280737	0	0.0199413071291458	0	0
"fabF"	-0.0427855505167204	0	0	0	1	0	0	0	0	0.263139122753316	-0.0329703109445557	0	0	0	-0.0564866200706015	-0.157290675794541	0	-0.052648040473625	0	0	-0.0276064332342127	0.121343581211548	0.111557185260589	0.121121294498908	0	-0.0861356802736597	0.0957008554454032	0	0.0103969064630778	0.101124877369383	0	0	-0.0893502157117888
"flgB"	0	-0.0267311792537685	0.217623512926942	0	0	1	-0.067249545122818	-0.0382011689684971	0	0	0	0	-0.0297814050146376	0.0122595156956094	0	0	0	0	0	0.217250677662648	0	-0.0588100037437824	0	-0.0587872886950911	0.218262873624309	0.148305679770968	-0.0576487875168703	0.202686070691198	0	0	0	-0.0701289463094414	-0.00289760246379511
"hokB"	-0.016889632087594	0.133134642313378	-0.0524819858713502	0.194583801415618	0	-0.067249545122818	1	0.101266373206222	0	-0.00651196292960328	-0.0201121896952523	0.195004253808154	0.125270896082906	-0.25249355161442	0	0.111508458921675	0.192137130912879	0	0	-0.0542840865966722	-0.0139437898477656	-0.0536192106854808	0	-0.0536165360760515	-0.0494279631098592	-0.0850449997621791	-0.0524873491240507	-0.000368271912913087	0.0647374336493938	0	0.194941139971249	-0.0886828469576281	0.1619512471412
"hokD"	-0.00875237760112911	0.110377738436559	-0.00481106578217957	0.124179815400895	0	-0.0382011689684971	0.101266373206222	1	0	0	-0.00671947751613548	0.116456067759504	0.108226537344141	-0.133450481636901	0	0.0103064940068026	0.125662600077426	0	0	-0.00726493705233686	-0.000210864385358652	-0.043658087580511	0	-0.0436086991053886	-0.000685847995699586	-0.029684529064973	-0.0359196747790776	0	0.0619349910628142	0	0.117112262043928	-0.0799988227727815	0.0794244967451575
"hslU"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	-0.0486710991322889	0	0	0	0.263139122753316	0	-0.00651196292960328	0	0	1	-0.045203575634363	0	0	0	-0.0896978809258808	-0.222964883137812	0	-0.0867634494708149	0	0	-0.0441983963336713	0.132495702524114	0.123675098092579	0.132336201681946	0	-0.0936044223566181	0.114665195339083	0	0.0217796038868568	0.11875244871003	0	0	-0.123813132549502
"infC"	0.159404542825336	0	0	0	-0.0329703109445557	0	-0.0201121896952523	-0.00671947751613548	0	-0.045203575634363	1	0	0	0	0	0.0191713435567863	0	0	0	0	0.149905353539901	0	-0.105837563570771	0	0	0.0564184690684882	0	-0.0629883399330672	-0.168670403567128	-0.09202926676185	0	0.0954529434149445	0
"malT"	0	0.0876419685442211	0	0.0180660479878966	0	0	0.195004253808154	0.116456067759504	0	0	0	1	0.0944524650378679	0	0	0	0.029019846898678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mokC"	-0.00264072871193783	0.107322795290257	0	0.104941567311222	0	-0.0297814050146376	0.125270896082906	0.108226537344141	0	0	0	0.0944524650378679	1	-0.0956953314353471	0	0	0.107826384616261	0	0	0	0	-0.0328640205059463	0	-0.0327799260740863	0	-0.0158011227400796	-0.0206666568170714	0	0.0588363958860675	0	0.0953516989282741	-0.0661197276242442	0.0491776932880106
